"IOBS","WAVE","SC_NAME","Q2b_1","Q2b_2","Q2b_3","Q2c_1","Q2c_2","Q2c_3","Q2d_1","Q2d_2","Q2d_3","Q2d_4","Q2e_1","Q2e_2","Q2e_3","Q2e_4","Q2f_1","Q2f_2","Q2f_3","Q2g_1","Q2g_2","Q2h_1","Q2h_2","Q2h_3","Q2h_4","Q2h_5","Q2i_1_1","Q2i_1_2","Q2i_1_3","Q2i_1_4","Q2i_1_5","Q2i_1_6","Q2i_1_7","Q2i_1_8","Q2i_2_1","Q2i_2_2","Q2i_2_3","Q2k_1_1","Q2k_1_2","Q2l_1","Q2l_2","Q2m_1","Q2m_2","Q2m_3","Q2m_4","Q2m_5","Q3a_1","Q3a_2","Q3a_3","Q3b_1","Q3b_2","Q3b_3","Q3b_4","Q3b_5","Q3d_1","Q3d_2","Q3d_3","Q3d_4","Q3d_5","Q3e_1","Q3e_2","Q3e_3","Q3e_4","Q3f_1","Q3f_2","Q3f_3","Q3f_4","Q3g_1","Q3g_2","Q3g_3","Q3g_4","Q3h_1","Q3h_2","Q3h_3","Q3i_1","Q3i_2","Q5a_1","Q5a_2","Q5b_1","Q5b_2","Q5b_3","Q5e_1","Q5e_2","Q5e_3","Q5e_4","Q5e_5","iQ2b","iQ2c","iQ2d","iQ2e","iQ2f","iQ2g","iQ2h","iQ2i_1","iQ2i_2","iQ2k_1","iQ2l","iQ2m","iAGENTGREETING","wAGENTGREETING","iQ3a","iQ3b","iQ3d","iQ3e","iQ3f","iQ3g","iQ3h","iQ3i","iINTERACTION","wINTERACTION","iQ5a","iQ5b","iQ5e","iIMPRESSION","wIMPRESSION","iOverallScore","wOverallScore","BAN1_1","BAN1_2","BAN1_3","BAN1_4","BAN1_5","BAN1_6","BAN1_7","BAN1_8","BAN1_9","BAN1_10","BAN1_11","BAN1_12","BAN1_13","BAN1_14","BAN1_15","BAN1_16","BAN1_17","BAN1_18","BAN2_1","BAN2_2","BAN2_3"
216860074,1,12,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0, , ,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,100,100,100,100,100,100,20,55,100,100, ,75,11,86.3636,100,100,100,100,75,100,100,100,8,96.8750,0,0,75,1,75.0000,19,90.7895,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,
217132889,1,19,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0, , ,0,0,1,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,0,1,0,0,1,0,0,100,100,100,100,100,100,40,100,100,100, ,100,11,94.5455,0,0,0,0,0,0,0,0,8,0.0000,0,0,50,1,50.0000,19,54.7368, , , , , , , , , , , , , , , , , , ,1,0,0,
217134273,1,19,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0, , ,0,0,1,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,1,0,0,0,1,0,0,0,100,100,100,50,100,100,40,100,100,100, ,100,11,90.0000,0,0,0,0,0,0,0,0,8,0.0000,100,100,75,1,75.0000,19,52.1053, , , , , , , , , , , , , , , , , , ,1,0,0,
218313828,2,14,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0, , ,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,100,100,100,100,100,100,20,60,100,100, ,100,11,89.0909,100,100,100,100,100,100,100,100,8,100.0000,100,100,75,1,75.0000,19,93.6842,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
218334126,2,6,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0, , ,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,100,100,100,100,50,100,20,60,50, ,100,100,11,80.0000,100,100,50,100,0,100,50,100,8,75.0000,0,0,75,1,75.0000,19,77.8947,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
218344767,2,9,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0, , ,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,100,100,100,50,100,100,20,15,50, ,100,100,11,75.9091,100,100,50,100,75,50,100,100,8,84.3750,100,50,75,1,75.0000,19,79.4737,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,
218357499,2,8,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0, , ,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,100,100,100,100,100,100,20,100,100,100, ,75,11,90.4545,100,100,50,25,0,50,100,100,8,65.6250,100,100,75,1,75.0000,19,80.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,
219396611,3,19,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0, , ,1,0,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,0,1,1,0,0,0,0,100,50,100,100,100,100,20,45,100,100, ,25,11,76.3636,0,0,0,0,0,0,0,0,8,0.0000,0,0,100,1,100.0000,19,44.2105, , , , , , , , , , , , , , , , , , ,1,0,0,
219590944,3,7,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0, , ,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,100,100,100,100,100,100,100,55,50, ,100,50,11,86.8182,100,100,100,100,75,100,100,100,8,96.8750,100,50,75,1,75.0000,19,91.0526,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
219691585,3,4,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0, , ,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,100,100,100,25,100,100,80,70,100,100, ,25,11,81.8182,100,100,100,100,75,100,100,100,8,96.8750,0,0,75,1,75.0000,19,88.1579,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
